Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788816180,9,,Aggregated,5.000000,1.700000,7,8,10,11,15,41,45,74,490,490,490,531,234,7,12.367945952163817,1.458899991121143,485.3171999566257,1310.5894538606403
1788816181,9,,Aggregated,4.700000,1.600000,7,8,10,11,15,41,45,74,490,490,490,535,236,7,12.314019066599311,1.458899991121143,485.3171999566257,1305.0654205607477
1788816182,9,,Aggregated,4.700000,1.400000,7,8,10,11,15,41,45,74,490,490,490,540,237,7,12.270002964241602,1.458899991121143,485.3171999566257,1302.6796296296295
1788816183,9,,Aggregated,4.900000,1.600000,7,8,10,11,15,41,45,74,490,490,490,546,240,7,12.190586814380527,1.458899991121143,485.3171999566257,1291.0549450549452
1788816184,9,,Aggregated,4.700000,1.500000,7,8,10,11,15,41,44,74,490,490,490,551,242,7,12.189665881320225,1.458899991121143,485.3171999566257,1303.8656987295826
1788816185,9,,Aggregated,4.900000,1.600000,7,8,10,11,15,41,44,74,490,490,490,557,246,7,12.10833644629013,1.458899991121143,485.3171999566257,1293.7809694793536
1788816186,9,,Aggregated,5.100000,1.700000,7,8,10,11,15,41,45,74,490,490,490,563,249,7,12.11618152873005,1.458899991121143,485.3171999566257,1305.7921847246892
1788816187,9,,Aggregated,4.700000,1.500000,7,8,10,11,15,41,45,74,490,490,490,568,254,7,12.0334022899378,1.458899991121143,485.3171999566257,1295.630281690141
1788816188,9,,Aggregated,4.800000,1.800000,7,8,10,11,15,41,45,74,490,490,490,576,259,7,11.993300869208825,1.458899991121143,485.3171999566257,1302.3159722222222
1788816189,9,,Aggregated,5.400000,2.200000,7,8,9,11,15,41,45,74,490,490,490,581,262,7,11.948592944303929,1.458899991121143,485.3171999566257,1298.2254733218588
1788816190,9,,Aggregated,5.300000,2.500000,7,8,9,11,15,41,45,74,490,490,490,585,265,7,11.899000001199639,1.458899991121143,485.3171999566257,1292.017094017094
1788816191,9,,Aggregated,5.800000,2.900000,7,8,9,11,15,41,45,74,490,490,490,593,270,7,11.865684655506767,1.458899991121143,485.3171999566257,1298.5598650927486
1788816192,9,,Aggregated,5.900000,3.200000,7,8,9,10,15,41,45,74,490,490,490,597,272,7,11.825151592329258,1.458899991121143,485.3171999566257,1292.145728643216
1788816193,9,,Aggregated,5.600000,3.200000,7,8,9,11,15,41,44,54,490,490,490,602,274,7,11.846851662112295,1.458899991121143,485.3171999566257,1304.3654485049833
1788816194,9,,Aggregated,5.700000,3.400000,7,8,9,11,15,41,44,54,490,490,490,608,278,7,11.78736776407612,1.458899991121143,485.3171999566257,1297.3404605263158
1788816195,9,,Aggregated,5.800000,3.500000,7,8,9,11,14,41,44,54,490,490,490,613,281,7,11.737473736529285,1.458899991121143,485.3171999566257,1290.0179445350734
1788816196,9,,Aggregated,5.400000,3.400000,7,8,9,11,15,41,44,54,490,490,490,619,285,7,11.723306301137905,1.458899991121143,485.3171999566257,1298.1809369951534
1788816197,9,,Aggregated,5.700000,3.600000,7,8,9,11,14,41,44,54,490,490,490,625,288,7,11.674638880416751,1.458899991121143,485.3171999566257,1293.456
1788816198,9,,Aggregated,5.700000,3.500000,7,8,9,11,14,41,44,54,490,490,490,631,292,7,11.663130428343155,1.458899991121143,485.3171999566257,1302.3026941362916
1788816199,9,,Aggregated,5.500000,3.500000,7,8,9,11,14,41,44,54,490,490,490,635,295,7,11.619301260390326,1.458899991121143,485.3171999566257,1296.7181102362206
1788816200,9,,Aggregated,5.600000,3.400000,7,8,9,11,14,41,44,54,490,490,490,642,300,7,11.55196495388266,1.458899991121143,485.3171999566257,1289.2538940809968
1788816201,9,,Aggregated,5.600000,3.400000,7,8,9,11,14,41,44,54,490,490,490,648,303,7,11.546449537692954,1.458899991121143,485.3171999566257,1299.8904320987654
1788816203,9,,Aggregated,5.300000,3.200000,7,8,9,11,14,41,44,54,490,490,490,651,305,7,11.524717051399222,1.458899991121143,485.3171999566257,1296.05222734255
